komentar,komentar_bersih,label_final,alasan_label
Jika sty gagal gak rindu sama luis milla ????,sty gagal rindu luis milla,netral,Pertanyaan tentang Luis Milla tanpa sentimen jelas.
Betul-betul,betulbetul,netral,Persetujuan singkat tanpa konteks emosi jelas.
Fitnah lol,fitnah lol,netral,Komentar bantahan singkat tanpa konteks jelas.
"Permainan uda di bilang di kuasai oleh Indonesia hanya itulah sepak bolah faktor itu aja belum menenntukan tpi siapa yg bisa mencetak gol lebih banyak., Trimakasih buat semua yg telah berjuang memang takdir berbicara lain., tetap suport Timnas Indonesia dan Oficial kalian Terbaik ❤️🙏",main uda bilang kuasa indonesia sepak bolah faktor menenntukan cetak gol trimakasih juang takdir bicara suport timnas indonesia oficial baik,positif,Tetap mendukung Timnas dan berterima kasih atas perjuangan.
​ @VaslaBangbeng kamu punya bukti apa cuman asumsi saja. .brperangsa buruk tu gk boleh kecuali kamu punya bukti kuwat silhkn😅,bukti cuman asumsi brperangsa buruk tu kecuali bukti kuwat silhkn,netral,Meminta bukti dan menegur asumsi tanpa sentimen langsung ke Timnas.
Mewakili bang 🙏🙏🙏,wakil bang,positif,Menyatakan pendapat Bung Binder mewakili dirinya.
Emang lebih cocok counter attack aja dah wkwkwk,emang cocok counter attack dah,netral,"Komentar taktis tentang counter attack, netral."
Siapa yg gantikan ET?,ganti et,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
"dimata pundit indo main pragmatis udah kek hal yang haram banget, padahal itu bagian dari taktik sepakbola yang tujuannya buat cari menang juga",mata pundit indo main pragmatis udah haram taktik sepakbola tuju cari menang,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
tapi 10 tahun trakhir itali masuk piala dunia ga ?,trakhir itali masuk piala dunia,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
"jalan ke Piala Dunia tak semudah itu,Italia aja yg sudah mengoleksi 4 tropi piala dunia tak ikut serta 2 edisi berturut-turut & kini terancam utk ke 3 kalinya.",jalan piala dunia mudah ituitalia koleksi tropi piala dunia edisi berturutturut ancam kali,netral,Komentar realistis tentang sulitnya jalan ke Piala Dunia.
Alhamdulillah Indonesia 🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊,alhamdulillah indonesia,positif,Ungkapan syukur/dukungan untuk Indonesia.
"Ganti pelatih,jose mourinho boleh kayaknya",ganti pelatihjose mourinho kayak,netral,Usulan penggantian pelatih tanpa emosi kuat.
​ @mamansuparman661 macan Asean apa 0 trophy. Fakta nya sekarang 2 bulan ngelatih club Korea di pecat 😂😂😂,macan asean trophy fakta ngelatih club korea pecat,negatif,Kritik terhadap STY karena dianggap tanpa trofi.
Kalau bola kurang si indonesia tetapi kalau korupsi juara nya sih wkwkwkwk😊😊😊,bola si indonesia korupsi juara wkwkwkwk,negatif,Sindiran terhadap korupsi di Indonesia.
1 syarat utama buat Timnas..... Semua lini kudu JUJUR😊❤,syarat utama timnas lini kudu jujur,positif,Harapan agar Timnas jujur di semua lini disertai nada dukungan.
